region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
4420040023,44,200,400,23,4420040023,4420040023,충청남도 아산시 도고면 효자리,3,,4420040000,효자리,
4420040024,44,200,400,24,4420040024,4420040024,충청남도 아산시 도고면 금산리,4,,4420040000,금산리,
4420040025,44,200,400,25,4420040025,4420040025,충청남도 아산시 도고면 시전리,5,,4420040000,시전리,
4420040026,44,200,400,26,4420040026,4420040026,충청남도 아산시 도고면 신유리,6,,4420040000,신유리,
4420040027,44,200,400,27,4420040027,4420040027,충청남도 아산시 도고면 도산리,7,,4420040000,도산리,
4420040028,44,200,400,28,4420040028,4420040028,충청남도 아산시 도고면 화천리,8,,4420040000,화천리,
4420040029,44,200,400,29,4420040029,4420040029,충청남도 아산시 도고면 농은리,9,,4420040000,농은리,
4420040030,44,200,400,30,4420040030,4420040030,충청남도 아산시 도고면 오암리,10,,4420040000,오암리,
4420040031,44,200,400,31,4420040031,4420040031,충청남도 아산시 도고면 덕암리,11,,4420040000,덕암리,
4420040032,44,200,400,32,4420040032,4420040032,충청남도 아산시 도고면 석당리,12,,4420040000,석당리,
4420040033,44,200,400,33,4420040033,4420040033,충청남도 아산시 도고면 향산리,13,,4420040000,향산리,
4420040034,44,200,400,34,4420040034,4420040034,충청남도 아산시 도고면 와산리,14,,4420040000,와산리,
4420040035,44,200,400,35,4420040035,4420040035,충청남도 아산시 도고면 신통리,15,,4420040000,신통리,
4420040036,44,200,400,36,4420040036,4420040036,충청남도 아산시 도고면 기곡리,16,,4420040000,기곡리,
4420041000,44,200,410,00,4420041000,4420041000,충청남도 아산시 신창면,30,,4420000000,신창면,
4420041021,44,200,410,21,4420041021,4420041021,충청남도 아산시 신창면 오목리,1,,4420041000,오목리,
4420041022,44,200,410,22,4420041022,4420041022,충청남도 아산시 신창면 읍내리,2,,4420041000,읍내리,
4420041023,44,200,410,23,4420041023,4420041023,충청남도 아산시 신창면 창암리,3,,4420041000,창암리,
4420041024,44,200,410,24,4420041024,4420041024,충청남도 아산시 신창면 황산리,4,,4420041000,황산리,
4420041025,44,200,410,25,4420041025,4420041025,충청남도 아산시 신창면 행목리,5,,4420041000,행목리,
4420041026,44,200,410,26,4420041026,4420041026,충청남도 아산시 신창면 수장리,6,,4420041000,수장리,
4420041027,44,200,410,27,4420041027,4420041027,충청남도 아산시 신창면 신달리,7,,4420041000,신달리,
4420041028,44,200,410,28,4420041028,4420041028,충청남도 아산시 신창면 남성리,8,,4420041000,남성리,
4420041029,44,200,410,29,4420041029,4420041029,충청남도 아산시 신창면 궁화리,9,,4420041000,궁화리,
4420041030,44,200,410,30,4420041030,4420041030,충청남도 아산시 신창면 가덕리,10,,4420041000,가덕리,
